,Data,Total,Producao Interna,Producao Mao de Obra,Corte,Corte Voil,Bainha Continua,Barrado,Emenda,Overloque,Paleteira,Acabamento,Furo,Ilhos,Dobra,Embalagem,Mes,Ano
86,2025-04-25,4900.07,4440.77,459.30,126.34,275.61,198.87,399.03,0.00,10.41,584.90,487.98,625.62,832.72,735.78,163.51,Abril,2025.00
87,2025-04-28,5828.71,5669.21,159.50,199.30,418.67,259.35,346.66,0.00,17.95,566.27,950.58,862.77,1108.09,768.74,170.83,Abril,2025.00
88,2025-04-29,5422.44,5250.36,172.08,187.74,576.68,28.57,413.34,0.00,34.03,629.02,519.29,857.76,1142.99,703.76,157.18,Abril,2025.00
89,2025-04-30,5209.60,4929.19,280.41,458.21,498.45,67.87,552.37,66.41,38.87,440.23,791.29,487.87,434.54,894.34,198.74,Abril,2025.00
90,2025-05-01,4417.01,4239.83,177.18,368.98,244.94,8.74,704.66,0.00,34.78,496.49,758.41,280.00,461.99,720.54,160.30,Maio,2025.00
91,2025-05-05,5084.04,4884.63,199.41,209.13,0.00,20.67,784.79,45.12,2.25,601.27,892.37,606.24,983.20,605.12,134.47,Maio,2025.00
92,2025-05-06,4654.06,4417.89,236.17,218.53,99.95,1.93,516.58,16.11,0.00,529.51,908.36,482.84,503.36,933.32,207.40,Maio,2025.00
93,2025-05-07,5715.95,5239.14,476.81,195.98,331.11,127.97,368.73,0.00,9.35,723.28,848.80,526.80,939.81,955.07,212.24,Maio,2025.00
94,2025-05-08,6162.54,5834.80,327.74,1284.27,0.00,0.00,492.77,0.00,4.22,679.26,752.52,781.45,928.45,746.07,165.79,Maio,2025.00
95,2025-05-09,6278.12,6083.75,194.37,1461.34,0.00,0.00,369.31,0.00,0.00,762.29,749.74,730.01,514.19,1224.71,272.16,Maio,2025.00
96,2025-05-12,4116.73,3919.21,197.52,25.52,0.00,0.00,0.00,0.00,0.00,716.60,494.75,395.35,891.18,1140.33,255.48,Maio,2025.00
97,2025-05-13,4817.28,4685.84,131.44,129.10,0.00,0.00,0.00,0.00,0.00,651.60,777.42,629.26,947.70,1268.80,281.96,Maio,2025.00
98,2025-05-14,5217.44,4800.09,417.35,253.49,107.78,11.46,81.47,0.00,9.98,627.33,813.80,563.76,801.36,1251.24,278.42,Maio,2025.00
99,2025-05-15,6802.98,6515.68,287.30,2402.89,0.00,0.00,291.30,0.00,115.95,685.53,724.79,406.94,748.99,932.05,207.24,Maio,2025.00
100,2025-05-16,4835.48,4587.51,247.97,310.90,0.00,0.00,254.19,0.00,0.00,533.63,639.14,444.25,868.08,1257.81,279.51,Maio,2025.00
101,2025-05-19,6908.90,6496.85,412.05,2395.69,65.31,0.00,48.73,0.00,0.82,476.95,719.63,618.12,728.35,1180.84,262.41,Maio,2025.00
102,2025-05-20,8345.90,7858.76,487.14,2946.79,0.00,0.00,0.00,0.00,0.00,761.46,677.58,737.70,988.92,1428.80,317.51,Maio,2025.00
103,2025-05-21,6868.23,6868.23,0.00,1810.18,126.32,0.00,0.00,0.00,30.92,904.41,726.98,474.36,1026.87,1446.70,321.49,Maio,2025.00
104,2025-05-22,7787.05,7787.05,0.00,2731.66,0.00,0.00,290.88,0.00,50.92,763.11,646.84,896.75,863.31,1262.93,280.65,Maio,2025.00
105,2025-05-23,7516.25,7137.13,379.12,2828.62,0.00,42.94,216.67,0.00,25.77,457.88,491.52,665.16,858.38,1268.34,281.85,Maio,2025.00
106,2025-05-26,4847.49,4610.37,237.12,393.31,152.74,0.00,248.64,0.00,7.39,817.72,549.79,668.07,510.85,1032.18,229.68,Maio,2025.00
107,2025-05-27,4742.87,4585.69,157.18,291.07,56.12,0.00,0.00,0.00,5.28,759.04,513.67,392.12,1115.19,1188.53,264.67,Maio,2025.00
108,2025-05-28,2096.04,2062.48,33.56,159.09,0.00,0.00,0.00,0.00,28.64,168.29,370.79,293.38,528.46,420.41,93.42,Maio,2025.00
109,2025-05-29,4478.74,4126.77,351.97,208.98,0.00,0.00,198.67,0.00,28.35,678.46,518.85,617.01,914.64,786.94,174.87,Maio,2025.00
110,2025-05-30,4306.70,3941.13,365.57,236.69,116.90,32.37,154.29,0.00,27.80,449.96,606.27,464.28,482.70,1120.55,249.32,Maio,2025.00
111,2025-07-01,6183.42,5682.77,500.65,333.55,0.00,49.85,260.76,0.00,116.88,552.34,611.61,1101.12,1010.65,1315.04,330.97,Julho,2025.00
112,2025-07-02,6898.69,6398.04,500.65,319.10,763.82,195.41,336.88,0.00,135.39,429.99,561.13,929.77,1136.02,1267.69,322.84,Julho,2025.00
113,2025-07-03,5909.85,5409.20,500.65,24.53,386.33,79.86,527.07,0.00,0.00,590.18,931.37,516.24,765.34,1270.69,317.59,Julho,2025.00
114,2025-07-07,7073.40,6572.75,500.65,1424.58,142.64,0.00,652.12,0.00,0.00,633.34,681.61,780.06,1087.47,935.92,235.01,Julho,2025.00
115,2025-07-08,7073.19,6322.21,750.98,1830.96,0.00,48.19,788.42,0.00,0.00,546.84,420.54,926.97,851.97,727.93,180.39,Julho,2025.00
116,2025-07-09,7696.62,7446.29,250.33,1926.92,327.62,40.51,770.69,0.00,0.00,704.55,538.96,825.74,1225.64,871.55,214.11,Julho,2025.00
117,2025-07-10,8291.84,8041.51,250.33,2995.26,0.00,0.00,556.14,0.00,5.26,779.69,572.78,666.67,1161.54,1039.95,264.22,Julho,2025.00
118,2025-07-11,6763.87,6763.87,0.00,2519.93,0.00,0.00,259.67,0.00,0.00,465.37,449.73,739.19,926.93,1110.72,292.33,Julho,2025.00
119,2025-07-14,7149.97,6899.64,250.33,2144.90,65.53,42.32,159.59,0.00,0.00,485.77,536.64,898.65,1073.65,1179.37,313.22,Julho,2025.00
120,2025-07-15,6089.90,5572.15,517.75,407.66,0.00,0.00,38.38,0.00,0.00,616.35,746.99,941.25,1301.56,1197.61,322.35,Julho,2025.00
121,2025-07-16,7012.35,6961.43,50.92,472.66,0.00,0.00,0.00,0.00,0.00,923.95,889.92,1161.53,1258.27,1786.87,468.23,Julho,2025.00
122,2025-07-17,7587.34,7587.34,0.00,884.10,0.00,0.00,102.40,0.00,11.67,978.02,822.07,864.44,1457.97,1950.72,515.95,Julho,2025.00
123,2025-07-18,7825.90,7825.90,0.00,500.65,0.00,158.09,64.49,0.00,2.27,1009.93,970.64,1198.72,1668.47,1789.41,463.23,Julho,2025.00
124,2025-07-21,7113.45,7006.62,106.83,591.80,0.00,87.80,6.55,0.00,0.00,912.66,816.68,1193.97,1599.62,1421.07,376.47,Julho,2025.00
125,2025-07-22,8262.04,7879.70,382.34,756.50,298.67,0.00,47.00,0.00,0.00,1044.38,1134.48,1091.08,1456.38,1627.43,423.78,Julho,2025.00
126,2025-07-23,7897.48,7620.40,277.08,356.58,0.00,0.00,366.06,0.00,0.00,1089.18,1287.03,1290.99,1442.09,1420.16,368.31,Julho,2025.00
127,2025-07-24,7003.34,6952.78,50.56,1153.18,272.77,13.92,0.00,0.00,0.00,783.82,1001.26,937.84,1271.11,1201.35,317.53,Julho,2025.00
128,2025-07-25,7389.10,7324.47,64.63,1420.07,0.00,0.00,363.90,0.00,0.00,857.07,819.15,1196.37,1206.55,1161.35,300.01,Julho,2025.00
129,2025-07-28,8180.91,7501.61,679.30,848.25,349.75,6.55,0.00,0.00,0.00,758.38,812.85,1069.41,1480.70,1725.99,449.73,Julho,2025.00
130,2025-07-29,7881.57,7030.46,851.11,765.20,0.00,23.47,215.39,0.00,1.06,884.71,778.04,1125.21,1720.44,1201.43,315.51,Julho,2025.00
131,2025-07-30,8931.35,7980.11,951.24,873.10,0.00,0.00,500.08,0.00,0.00,671.48,791.13,1169.43,1647.11,1845.88,481.90,Julho,2025.00
132,2025-07-31,6398.47,6332.99,65.48,726.37,0.00,0.00,8.72,0.00,0.00,856.25,1134.20,1134.54,1024.07,1143.27,305.57,Julho,2025.00
133,,4818.40,4629.19,189.21,189.15,0.00,21.78,175.46,0.00,0.00,686.55,969.19,575.93,1048.73,787.42,174.98,Junho,
134,,4475.74,4204.84,270.90,207.86,120.32,0.00,178.72,0.00,0.00,404.40,669.95,531.77,649.54,1179.75,262.53,Junho,
135,,5183.84,5057.88,125.96,769.20,0.00,0.00,307.55,0.00,38.78,696.31,837.33,547.81,584.30,1044.49,232.11,Junho,
136,,4292.35,4292.35,0.00,111.68,241.18,44.08,95.35,74.12,0.00,666.47,747.44,626.56,777.18,743.15,165.14,Junho,
137,,5356.41,4940.97,415.44,245.43,0.00,133.13,304.88,0.00,0.00,657.12,707.75,789.22,455.33,1348.45,299.66,Junho,
138,,6333.65,5852.66,480.99,322.98,573.04,117.53,303.11,0.00,0.00,651.93,597.15,762.38,1193.59,1088.96,241.99,Junho,
139,,5646.13,5121.64,524.49,532.16,198.50,42.66,307.57,0.00,7.57,729.35,689.37,402.26,912.23,1063.61,236.36,Junho,
140,,6401.16,6130.26,270.90,606.68,318.19,161.41,452.11,0.00,6.80,772.00,635.11,745.19,1175.24,1028.89,228.64,Junho,
141,,5759.34,5759.34,0.00,626.83,177.05,58.45,523.55,3.22,0.00,628.99,741.31,651.73,981.07,1118.57,248.57,Junho,
142,,4864.33,4864.33,0.00,705.15,0.00,240.12,376.27,0.00,1.53,469.41,667.58,699.50,692.92,827.88,183.97,Junho,
143,,5423.52,5423.52,0.00,42.50,180.90,22.13,499.52,0.00,5.70,673.82,477.03,877.48,1300.37,1099.69,244.38,Junho,
144,,3041.36,2918.77,122.59,106.17,571.05,0.00,258.24,0.00,9.55,349.96,204.20,424.56,232.37,624.00,138.67,Junho,
145,,5310.43,4956.94,353.49,8.52,396.34,14.17,591.85,0.00,0.00,618.55,610.40,830.39,943.58,771.66,171.48,Junho,
146,,4906.10,4707.06,199.04,159.37,0.00,0.00,668.27,0.00,3.78,583.48,461.16,666.16,958.07,987.36,219.41,Junho,
147,,7041.73,6821.70,220.03,609.44,0.00,173.30,687.84,0.00,64.47,684.37,674.26,803.56,1319.76,1476.57,328.13,Junho,
148,,7044.28,6662.83,381.45,579.26,496.65,196.64,679.61,0.00,5.28,525.51,474.79,665.82,1239.20,1472.78,327.29,Junho,
149,,6724.74,6200.25,524.49,135.93,368.76,31.02,766.68,0.00,1.43,464.46,625.77,906.37,1042.22,1519.86,337.75,Junho,
150,,6823.10,6441.65,381.45,380.14,119.28,0.00,534.67,0.00,0.00,358.16,849.49,995.27,1410.48,1467.95,326.21,Junho,
151,,7269.20,6868.68,400.52,598.51,0.00,0.00,0.00,0.00,0.00,441.53,1225.31,795.40,1717.29,1710.52,380.12,Junho,
152,,6236.94,5877.39,359.55,362.48,194.66,102.80,36.21,0.00,4.53,709.26,1094.11,1183.19,921.27,1012.24,256.64,Junho,
