Data,Total,Producao Interna,Producao Mao de Obra,Corte,Corte Voil,Bainha Continua,Barrado,Emenda,Overloque,Paleteira,Acabamento,Furo,Ilhos,Dobra,Embalagem,Mes,Ano
2024-04-26,5929.27,5692.47,236.8,272.05,519.13,38.84,770.76,173.61,0.0,688.31,604.23,491.29,925.0,989.39,219.86,Abril,2024
2024-04-29,6240.85,6074.54,166.31,201.24,544.44,53.32,853.5,170.67,0.0,630.61,786.65,737.43,791.27,1067.89,237.52,Abril,2024
2024-04-30,6079.66,5858.09,221.57,203.15,461.93,191.56,603.39,222.16,0.0,604.15,716.26,551.62,1084.49,997.63,221.75,Abril,2024
2024-05-02,7111.54,6929.58,181.96,216.33,642.03,285.17,897.99,179.49,0.0,707.02,820.49,702.4,1062.15,1142.98,273.53,Maio,2024
2024-05-03,6442.21,6236.58,205.63,260.12,569.77,278.54,787.82,0.0,0.0,547.72,1019.64,718.17,760.93,1020.81,273.06,Maio,2024
2024-05-06,6336.81,6109.6,227.21,354.22,604.57,241.05,717.79,0.0,11.0,622.37,704.26,481.71,1109.0,1033.88,229.75,Maio,2024
2024-05-07,7111.7,6939.26,172.44,619.93,448.98,296.9,860.03,0.0,0.0,777.17,693.78,798.4,1135.36,1070.72,237.99,Maio,2024
2024-05-08,6493.28,6361.69,131.59,351.25,723.38,135.91,978.26,0.0,0.0,713.5,875.57,598.43,915.97,874.98,194.44,Maio,2024
2024-05-09,8194.29,7933.02,261.27,959.02,855.04,156.79,1223.61,0.0,0.0,612.86,705.14,572.95,1237.47,1317.3,292.84,Maio,2024
2024-05-10,6862.42,6689.04,173.38,191.85,938.83,285.6,829.02,0.0,0.0,705.96,651.59,504.03,1062.42,1240.56,279.18,Maio,2024
2024-05-11,45.9,45.9,0.0,45.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Maio,2024
2024-05-13,6571.35,6423.13,148.22,182.67,812.74,233.78,1047.53,155.95,0.0,700.28,760.62,579.51,885.81,870.74,193.5,Maio,2024
2024-05-14,6243.37,6149.23,94.14,226.93,392.82,226.16,1003.33,123.58,1.06,737.86,732.15,580.5,748.57,1126.04,250.23,Maio,2024
2024-05-15,7279.679999999999,7058.57,221.11,208.02,910.82,51.61,1272.4,0.0,0.0,831.7,1020.97,880.2,696.9,970.32,215.63,Maio,2024
2024-05-16,7382.06,7251.92,130.14,148.36,571.97,396.38,838.79,0.0,0.0,746.68,1084.85,637.29,1706.39,917.35,203.86,Maio,2024
2024-05-17,7198.98,7198.98,0.0,688.83,702.36,309.57,1029.23,0.0,0.0,855.53,805.22,828.58,1016.4,788.12,175.14,Maio,2024
2024-05-20,7353.35,7329.81,23.54,242.7,856.71,159.37,971.91,0.0,0.0,750.46,877.63,810.57,1066.1,1303.88,290.48,Maio,2024
2024-05-21,7190.33,7145.84,44.49,593.4,878.28,93.92,998.86,0.0,0.0,691.05,791.89,681.71,1126.39,1055.65,234.69,Maio,2024
2024-05-22,6872.62,6698.84,173.78,174.16,561.55,122.05,950.6,0.0,0.0,848.76,704.61,529.23,1193.04,1320.12,294.72,Maio,2024
2024-05-23,6631.5,6415.52,215.98,628.4,672.31,261.74,583.03,32.37,22.25,685.34,705.08,620.83,979.62,1001.86,222.69,Maio,2024
